TrainingHours,FitnessScore,PerformanceRating,OpponentRank
8.96,76.98,5.791,69
3.04,74.59,2.211,94
4.5,78.96,7.1,4
9.04,68.92,5.919,71
6.26,84.8,5.078,61
7.77,72.97,5.079,84
10.0,79.91,5.506,92
4.61,92.13,7.116,7
5.8,80.53,4.678,75
5.46,77.31,5.149,49
2.09,69.83,2.85,61
5.38,74.22,6.337,14
7.76,63.64,5.036,72
7.08,80.33,6.937,24
7.24,53.66,4.862,51
5.25,84.68,6.209,31
4.69,82.32,6.623,2
8.54,75.98,5.693,72
5.01,69.67,3.327,91
6.59,74.84,5.883,43
6.33,57.26,3.133,88
8.92,83.24,6.743,51
7.94,73.36,5.256,70
3.41,90.15,6.378,11
3.62,78.92,4.245,49
7.16,77.31,7.074,16
5.87,79.01,3.627,93
5.09,65.24,4.607,41
8.03,70.49,6.867,30
6.37,76.33,5.909,45
6.1,71.97,4.335,71
7.56,69.23,7.041,16
5.25,72.18,3.124,100
9.14,75.44,7.471,31
4.42,98.19,7.402,11
7.31,71.75,4.167,83
8.87,68.23,5.24,78
3.25,73.47,3.163,79
5.31,90.02,7.952,8
8.28,90.73,8.856,12
8.31,94.49,5.619,88
5.66,75.61,4.472,61
4.53,81.42,5.424,38
7.91,64.5,5.801,55
8.37,71.47,7.505,13
3.67,63.85,2.579,82
3.59,79.73,4.944,35
6.45,75.38,3.891,93
7.26,77.26,5.611,62
5.4,66.54,6.102,20
7.36,83.51,5.978,54
4.58,50.93,2.0,98
1.77,72.48,2.795,67
5.15,73.93,4.208,63
6.13,54.78,2.683,99
5.45,78.84,3.552,95
3.68,73.27,3.648,71
2.37,80.61,5.487,9
4.97,95.0,5.206,61
7.8,78.25,6.012,50
8.51,84.73,6.113,59
8.38,88.81,7.043,48
4.37,79.92,6.131,17
3.69,66.34,3.534,52
6.99,58.6,4.396,71
7.27,78.74,6.201,51
6.8,71.0,4.406,69
1.97,87.84,2.572,88
4.27,70.25,3.389,79
5.94,74.86,4.793,66
6.97,63.41,4.844,57
7.53,71.56,7.548,15
6.29,65.57,3.342,85
6.66,66.48,4.065,78
6.17,74.47,7.533,2
7.37,68.93,4.208,89
6.63,100.0,7.545,27
6.13,83.36,6.16,52
5.46,85.85,5.479,51
6.16,73.89,5.512,38
6.97,76.06,6.787,19
6.53,70.7,6.548,30
6.76,100.0,5.516,74
8.69,73.91,5.001,95
6.53,68.96,4.207,77
4.7,67.46,6.367,13
7.77,78.35,7.335,27
3.27,89.21,4.978,46
3.84,85.87,5.732,19
6.67,67.44,6.428,19
7.03,67.19,6.062,41
3.51,87.46,6.641,15
5.23,96.01,6.482,28
4.79,73.55,2.646,100
5.03,87.07,6.076,28
7.89,60.34,5.587,50
7.41,66.56,6.451,33
5.96,64.9,5.061,44
4.91,79.12,4.845,55
3.3,73.21,2.886,86
8.84,77.38,8.438,9
7.18,87.19,6.686,36
4.59,68.47,3.447,70
7.44,75.94,8.116,2
5.86,61.62,5.048,43
5.43,86.64,6.709,26
6.87,85.96,5.104,69
4.52,78.62,6.161,23
5.31,76.2,4.609,60
6.24,69.91,7.101,6
5.0,61.04,3.885,61
7.34,78.06,5.726,65
9.74,82.56,5.511,99
4.49,95.19,5.865,41
2.67,71.06,1.754,97
2.0,77.7,4.698,26
5.7,86.14,4.091,89
4.67,86.45,7.131,13
6.42,68.78,3.831,81
6.27,72.21,6.73,16
2.79,69.75,3.802,44
2.37,65.98,4.489,30
6.59,89.72,8.363,2
6.27,75.63,4.431,68
5.15,74.26,3.946,77
2.69,77.48,4.543,38
6.94,75.54,4.505,81
8.54,72.79,7.486,23
6.56,67.38,6.241,29
4.31,90.65,5.135,57
6.09,69.3,4.51,57
3.27,65.69,2.396,73
8.12,74.19,6.902,15
6.16,96.58,5.685,66
2.46,66.78,1.609,93
5.4,82.1,3.551,98
6.93,72.54,4.309,81
5.33,77.45,4.016,78
5.45,84.22,4.379,79
3.55,57.8,1.505,90
7.13,66.04,3.768,98
4.7,84.08,4.494,67
1.69,75.97,4.489,18
5.26,77.12,3.111,100
7.96,82.11,5.83,61
5.23,66.1,5.191,39
9.48,85.55,9.135,7
6.86,83.2,4.628,87
6.68,77.38,6.687,26
5.74,79.68,4.566,79
5.86,86.65,7.023,24
5.47,69.06,3.172,84
5.4,81.61,5.765,37
7.06,92.44,5.247,88
4.13,81.41,3.961,78
3.85,72.78,3.014,96
3.75,98.18,3.638,99
10.0,77.31,7.877,23
7.06,88.99,7.048,33
6.61,70.78,7.521,2
3.88,85.68,3.464,77
7.25,69.54,6.54,30
5.77,78.23,4.841,61
6.43,68.93,3.524,98
4.05,94.01,4.551,75
6.32,72.79,6.679,12
5.15,63.92,3.638,82
4.47,75.95,2.991,84
7.47,80.37,6.417,49
2.92,74.73,3.236,77
7.13,66.87,7.296,6
7.37,85.37,7.827,10
4.24,87.59,4.683,61
4.36,58.52,1.814,97
5.55,66.23,4.641,50
6.56,73.41,5.007,63
5.69,69.69,6.854,4
6.87,80.26,7.757,4
9.53,93.39,8.323,37
4.98,71.19,3.767,76
2.57,90.77,3.735,69
7.65,60.32,5.456,55
9.37,79.56,5.479,89
6.79,69.05,3.658,89
3.82,79.77,5.326,33
5.75,57.43,4.029,52
3.76,62.15,3.041,63
7.29,79.75,5.233,79
3.3,68.7,3.067,84
5.4,71.77,4.125,76
3.99,93.36,4.358,78
6.25,76.38,6.695,22
5.27,84.02,3.672,88
6.35,67.41,4.444,76
6.04,61.59,3.475,84
4.03,74.19,2.638,92
7.25,60.1,5.379,56
5.9,68.01,4.506,75
4.02,77.38,2.746,86
10.0,73.89,5.421,97
6.95,78.35,5.656,58
5.69,81.0,4.514,78
8.83,63.04,5.379,77
9.68,65.58,7.659,25
5.71,53.21,3.109,80
6.69,71.29,3.582,94
4.02,82.37,6.766,1
5.71,89.91,6.874,28
5.6,76.9,3.075,95
6.37,88.73,4.033,100
6.67,78.84,5.924,48
7.12,76.07,5.186,66
6.48,68.89,5.481,55
3.58,51.15,4.85,2
4.12,87.23,5.326,33
4.91,74.47,5.361,49
5.44,88.88,6.264,36
8.1,65.5,6.471,30
3.67,99.29,3.779,98
5.29,72.51,6.14,18
7.91,68.08,6.438,36
5.4,72.85,6.05,24
6.92,76.7,8.018,1
5.72,74.3,5.413,46
6.51,69.85,6.638,24
5.54,56.97,5.709,21
7.33,66.96,6.193,29
2.91,85.74,3.503,77
5.27,66.2,3.959,64
6.59,57.83,6.625,10
7.07,64.45,6.794,13
8.99,74.11,8.16,11
5.22,67.41,4.054,58
8.96,72.2,8.177,6
4.68,67.02,4.066,51
8.66,85.1,8.313,10
7.63,79.91,5.668,64
4.17,97.18,4.663,77
6.61,71.18,5.697,35
5.9,72.15,3.45,86
7.25,86.84,7.925,17
5.55,78.91,7.25,3
5.39,65.58,5.692,30
8.74,80.56,5.04,98
5.8,78.97,6.464,27
7.65,57.06,5.434,45
5.55,68.49,6.476,4
9.33,76.9,7.816,33
4.64,89.46,5.763,43
4.77,81.98,6.056,31
9.05,69.36,8.09,19
5.11,67.92,6.154,11
9.2,82.98,7.748,37
7.78,50.74,4.047,79
5.69,66.92,3.7,84
2.37,89.09,4.165,61
5.96,77.97,4.33,72
6.2,67.41,7.024,2
8.33,62.98,5.73,50
9.18,83.4,7.872,27
4.63,75.78,5.025,50
7.6,72.81,5.066,78
7.53,78.74,7.076,24
8.15,76.65,4.433,99
7.0,75.88,7.019,28
2.12,61.76,2.859,56
5.69,64.74,5.499,34
3.69,82.48,3.664,81
5.59,80.59,6.268,33
7.96,78.82,7.291,23
6.61,69.13,7.579,8
8.3,82.65,7.575,33
6.68,71.29,5.093,64
3.4,88.02,6.261,19
0.96,67.53,4.435,12
6.3,69.75,7.076,4
5.57,73.49,3.2,95
4.05,83.47,4.128,63
2.6,74.65,3.868,44
4.53,75.38,6.054,21
5.61,71.08,6.865,12
7.33,77.68,5.05,71
6.38,74.29,6.674,18
9.22,67.16,6.84,39
3.93,76.27,3.88,75
7.76,76.51,6.958,33
6.09,98.5,5.188,86
7.39,68.89,5.164,72
5.13,66.61,4.914,39
8.14,77.79,7.322,31
6.59,65.07,6.198,27
4.64,64.27,2.734,92
5.98,60.63,3.189,87
5.52,67.25,5.415,41
6.98,67.5,6.39,27
3.64,62.17,5.462,10
5.94,72.5,6.581,23
6.79,51.34,4.963,33
6.07,79.92,6.37,26
8.69,69.43,5.135,77
7.55,70.9,6.552,31
5.99,80.87,6.461,27
6.43,78.72,7.273,13
6.59,68.7,5.385,48
6.81,79.52,5.742,55
2.35,90.49,4.529,58
5.4,64.88,4.768,47
3.03,82.54,2.299,98
8.56,63.87,6.277,47
5.88,86.75,5.067,71
5.61,67.88,5.796,44
7.79,67.5,4.708,76
6.84,86.49,8.152,5
3.74,82.22,6.461,6
5.86,68.21,3.647,90
5.33,76.27,6.277,19
2.51,67.9,2.76,79
4.62,59.07,5.596,9
5.63,76.89,4.859,77
5.77,71.44,5.525,35
3.04,65.54,4.114,34
8.3,88.05,6.064,63
5.8,65.88,3.537,98
6.08,76.44,3.918,93
6.8,85.8,7.342,27
4.42,72.44,4.649,46
6.91,67.66,5.573,45
5.27,77.98,7.067,12
4.21,79.56,5.378,39
7.15,83.77,8.691,2
8.98,93.71,8.16,47
7.45,70.43,3.928,100
7.85,76.96,6.406,53
4.96,62.31,2.706,82
2.8,81.66,6.105,6
8.98,76.84,4.93,94
10.0,73.21,5.703,85
9.09,68.82,6.227,56
5.33,71.52,6.035,22
3.69,77.36,6.376,11
3.87,65.34,4.466,40
2.63,71.93,3.865,42
5.79,75.17,7.029,7
9.21,59.6,5.221,71
5.72,64.49,5.795,31
6.6,68.4,5.012,56
8.75,90.68,6.647,70
5.19,66.69,3.176,90
10.0,74.44,7.765,36
9.98,64.59,5.524,73
5.74,67.24,5.399,36
4.84,60.59,6.204,3
7.39,81.7,5.855,57
5.3,61.74,5.45,31
3.69,84.07,4.234,64
8.56,79.68,7.787,30
8.43,74.25,4.394,95
6.31,84.4,6.523,43
3.47,100.0,5.745,40
3.54,79.78,2.807,94
6.21,63.8,4.074,73
5.0,89.89,7.465,6
5.32,76.86,5.733,25
8.04,96.11,5.421,94
7.47,69.94,6.401,26
8.76,87.82,6.438,67
4.02,75.0,5.613,22
5.31,100.0,6.664,42
7.52,72.18,6.414,45
6.9,100.0,5.901,73
9.06,79.4,4.607,99
6.84,83.47,7.8,7
9.7,92.0,7.858,37
7.08,67.12,4.187,73
8.12,84.69,4.979,91
5.35,72.07,5.468,28
6.03,76.51,3.366,97
7.82,75.83,5.818,63
9.23,80.72,6.46,61
7.46,80.3,6.436,50
5.83,69.25,6.958,6
8.75,76.25,5.462,81
1.62,51.66,1.8,64
3.16,84.9,3.191,87
7.36,91.94,5.58,89
6.03,76.91,4.269,83
7.21,58.94,6.015,29
6.13,82.43,6.495,31
7.14,67.36,7.3,6
4.37,76.82,4.264,63
7.14,81.86,6.887,34
7.99,80.46,7.167,24
8.44,85.81,6.882,58
10.0,76.46,6.24,74
6.49,76.73,5.57,59
6.55,82.37,4.442,75
2.95,74.29,4.641,24
4.94,68.12,4.402,62
5.61,79.52,7.296,2
8.1,63.71,5.692,50
4.78,74.19,2.998,93
7.59,61.22,4.297,80
6.0,69.45,4.189,87
5.65,69.87,4.974,35
6.5,65.16,5.199,43
5.22,86.01,3.879,86
5.14,85.18,6.313,35
2.59,88.14,6.497,6
5.5,73.12,4.808,56
5.04,70.66,3.494,87
4.97,83.04,6.221,23
6.83,76.28,6.869,30
7.32,76.24,6.417,42
6.46,49.56,5.594,20
7.99,82.57,7.584,11
7.15,81.24,4.586,88
5.41,74.95,4.767,57
5.07,83.16,4.07,82
6.63,81.02,6.842,27
7.15,68.03,5.376,53
8.8,72.8,8.093,7
8.38,64.92,6.264,48
4.92,89.62,3.824,85
5.8,84.77,4.378,79
7.34,66.86,4.651,72
8.14,81.19,4.734,92
7.88,77.79,5.043,85
5.87,68.14,3.962,72
3.49,76.24,2.585,92
4.0,83.58,3.181,98
6.55,84.4,5.063,79
6.68,98.32,7.173,37
3.8,75.94,2.838,91
6.09,72.62,5.524,41
7.26,80.62,7.327,26
3.7,73.17,3.28,76
8.21,69.15,5.72,63
5.24,65.74,2.787,98
8.52,40.72,3.202,95
4.93,82.35,6.646,3
3.95,58.62,1.951,90
5.08,66.2,4.25,57
5.81,77.92,4.883,54
5.22,71.78,3.942,70
5.57,96.49,5.861,58
6.67,59.91,5.88,20
5.66,97.39,6.354,51
5.87,88.81,6.712,40
2.58,84.09,5.608,17
6.78,89.39,6.607,41
5.82,79.05,5.059,65
9.22,57.97,7.63,13
4.12,80.15,3.401,82
2.38,60.19,2.488,64
7.24,69.72,4.216,85
6.69,74.22,5.783,52
3.98,65.89,5.394,12
2.94,84.46,4.004,64
9.07,72.86,6.872,44
8.83,79.09,8.393,12
1.03,74.91,4.028,26
5.08,76.26,5.264,42
9.33,66.13,7.455,28
5.05,63.26,4.393,44
5.02,73.46,3.151,89
5.43,65.34,2.759,85
3.76,88.94,5.408,48
2.59,61.24,3.267,50
8.11,98.37,8.811,11
2.31,78.02,3.163,73
6.49,75.69,3.625,99
7.77,69.6,6.304,36
3.1,81.57,5.216,29
4.15,72.96,5.077,40
8.43,78.0,7.855,17
7.07,83.42,6.749,37
4.77,81.69,5.049,49
8.4,87.4,6.083,72
8.41,80.38,6.804,53
6.54,65.49,4.243,69
4.2,54.2,4.634,23
5.17,77.11,5.318,54
6.57,77.25,7.33,10
5.62,94.26,5.85,47
7.88,73.84,5.477,79
2.94,78.74,2.812,80
3.01,82.77,4.733,27
6.36,80.13,6.336,32
5.02,83.44,4.849,56
4.75,66.82,4.596,51
2.46,65.24,3.875,46
6.04,72.19,5.854,35
5.89,53.26,2.992,88
7.31,74.6,6.704,31
6.14,68.4,6.026,35
5.73,78.22,4.166,80
8.35,72.35,5.48,62
3.38,64.85,4.306,36
7.07,88.11,4.787,76
2.66,75.83,3.41,60
4.32,83.63,3.684,80
3.57,76.84,4.165,49
7.56,79.64,5.746,69
5.87,61.39,3.918,69
5.97,87.78,7.212,20
3.79,83.79,4.832,48
5.4,74.81,5.628,38
4.47,77.88,2.657,100
6.77,85.03,5.946,55
4.02,71.28,2.883,96
8.66,59.17,7.111,11
2.65,71.47,3.19,75
4.39,76.52,5.078,49
9.35,74.68,5.12,92
5.13,88.18,7.209,12
3.37,65.4,4.046,46
6.44,66.67,5.701,31
5.05,64.42,4.957,40
4.33,79.29,3.096,94
3.81,59.74,2.296,84
10.0,82.44,8.532,27
5.5,65.67,5.575,25
2.15,67.27,3.237,50
8.99,92.7,5.284,98
7.22,87.33,6.947,35
4.47,76.19,5.384,43
4.13,61.89,3.753,52
7.35,95.14,8.812,5
5.51,73.04,5.474,39
2.15,77.48,3.323,63
9.57,84.12,6.093,72
5.13,55.37,5.564,19
8.99,68.6,7.55,18
8.56,74.32,5.318,80
4.0,76.31,3.348,83
8.07,61.96,4.716,79
4.7,78.26,3.18,93
2.27,75.34,2.168,79
5.15,91.67,6.872,29
6.8,85.0,7.792,17
5.07,72.31,6.017,15
5.39,73.04,5.511,40
8.29,85.14,5.799,75
6.21,77.84,7.759,3
4.31,61.29,2.927,77
7.4,95.94,7.212,38
6.4,65.1,6.492,9
0.96,99.79,2.949,84
6.86,79.28,6.014,48
6.78,68.65,4.316,90
6.04,51.33,3.714,57
7.78,82.77,5.258,76
4.66,59.5,3.893,49
6.67,78.57,3.722,95
2.87,94.34,6.514,2
6.81,63.62,6.105,33
9.91,82.38,8.132,16
4.01,66.88,5.907,5
4.48,86.33,5.446,53
4.58,75.66,3.553,81
6.26,74.81,4.827,63
3.87,87.07,4.687,56
6.84,81.25,6.654,32
7.69,66.95,7.301,15
7.07,92.87,6.085,61
2.46,59.64,4.493,12
7.99,77.76,7.539,17
7.87,66.77,7.96,10
7.66,60.13,3.939,90
6.75,63.66,5.838,44
6.44,74.51,4.308,92
8.06,78.5,7.332,28
9.85,85.59,6.136,87
4.09,89.76,6.38,20
8.16,77.78,5.433,81
5.83,70.57,5.168,52
5.74,85.39,7.49,8
2.93,68.85,2.615,79
5.43,59.04,2.546,87
4.01,84.39,3.676,78
5.07,88.24,6.424,27
3.8,66.78,3.133,77
5.1,94.61,6.466,39
5.19,80.83,3.304,89
6.19,79.34,3.99,90
2.77,69.83,3.435,63
3.11,85.17,3.508,75
6.72,59.76,5.579,38
4.41,71.6,3.594,73
8.15,67.67,3.878,97
6.45,61.91,4.944,51
7.21,83.63,4.735,80
8.82,78.41,5.713,84
5.38,83.05,7.102,7
4.85,72.22,5.515,33
7.74,84.85,5.134,77
7.02,75.77,5.879,47
5.63,70.28,5.467,35
8.78,68.61,5.527,68
5.58,55.17,3.673,63
6.07,86.64,4.323,95
6.04,85.51,4.142,94
4.13,100.0,7.526,3
6.16,71.65,5.654,41
8.79,68.33,5.032,91
6.89,57.99,5.361,32
6.06,84.6,5.968,47
5.68,82.3,6.127,38
6.66,90.52,8.193,6
7.5,65.83,4.651,62
7.22,82.16,7.669,8
5.34,69.78,4.732,54
6.65,88.44,4.908,88
6.96,80.36,4.362,79
3.99,59.44,4.678,25
6.34,73.69,6.552,27
1.68,55.52,4.306,13
6.97,63.37,4.125,84
7.32,63.97,7.303,5
7.5,68.59,5.102,71
5.21,72.37,4.816,58
6.62,76.65,5.209,69
8.85,76.15,7.883,28
8.83,74.76,7.14,37
5.94,78.32,4.099,93
6.28,62.5,5.428,37
8.22,75.73,8.058,7
3.0,89.34,5.226,46
5.35,73.34,3.945,90
8.67,79.95,6.499,58
7.95,79.02,5.255,83
6.74,83.62,4.716,74
2.99,77.87,3.893,56
5.9,83.45,4.511,84
4.82,80.07,3.294,95
6.66,81.57,4.006,100
4.38,79.42,6.631,6
3.95,64.93,3.102,79
1.87,63.29,1.235,88
8.44,71.47,7.449,30
5.2,90.52,7.535,9
6.31,73.28,4.911,65
6.0,78.1,5.517,50
3.87,55.33,4.702,15
3.48,76.94,4.068,58
3.99,75.86,5.959,6
4.55,48.27,2.773,79
6.73,77.91,5.191,71
4.41,58.49,4.209,46
9.49,67.75,4.712,91
8.05,84.94,8.001,10
7.62,76.57,4.109,96
5.76,70.52,3.664,85
9.03,69.66,7.014,44
5.56,70.82,5.68,37
5.94,76.61,5.394,54
6.34,62.99,2.991,100
7.4,86.24,5.357,78
7.27,63.52,5.99,39
5.05,57.73,3.828,60
4.93,84.91,5.749,41
7.28,70.63,5.522,48
7.43,75.7,5.322,78
5.21,81.55,6.931,2
2.83,67.81,4.758,24
5.59,76.37,6.826,10
7.25,81.48,6.676,42
9.61,91.43,9.559,6
3.6,69.89,6.242,3
5.15,70.37,4.196,62
5.22,80.63,6.169,34
8.71,77.09,5.102,90
5.93,73.63,4.496,74
4.19,90.93,5.999,38
7.12,58.18,5.073,54
5.19,60.78,2.704,85
3.55,58.29,4.625,25
4.21,87.02,4.683,66
9.47,80.15,7.699,36
6.77,61.29,4.807,65
6.22,73.77,5.72,44
5.5,74.72,5.953,36
6.58,52.91,4.89,44
6.56,76.88,4.475,88
6.58,63.22,4.085,74
6.23,82.07,6.417,35
7.74,63.53,5.008,60
6.05,77.19,4.043,86
4.04,87.95,5.264,47
4.78,84.75,3.053,98
2.04,80.07,2.377,96
10.0,74.19,8.47,16
7.73,60.0,3.902,94
4.34,70.61,5.008,36
5.44,72.74,4.576,59
4.73,72.02,3.825,61
9.09,59.66,4.443,95
3.16,79.34,2.864,94
6.23,63.19,4.237,69
5.78,90.46,4.194,88
7.65,76.48,6.569,46
5.79,84.79,4.016,100
2.48,84.59,2.725,91
5.5,95.78,7.621,14
4.06,76.82,3.868,77
6.16,71.1,6.6,20
8.87,71.29,7.516,28
2.52,89.96,6.596,6
4.4,61.8,3.291,73
4.89,66.22,5.378,22
5.24,77.37,4.296,87
7.48,73.47,7.892,8
5.65,84.68,7.831,1
6.83,61.61,4.247,71
4.75,74.33,4.422,61
6.46,73.13,4.765,61
7.56,64.28,4.495,76
4.54,83.79,5.493,39
7.56,74.08,4.715,81
6.1,73.66,5.051,50
8.09,66.75,4.464,80
5.6,71.3,4.486,68
6.76,64.78,6.961,9
5.92,83.64,7.607,9
5.81,85.33,3.95,91
6.52,91.8,5.422,76
7.07,79.34,6.656,34
3.5,71.61,5.212,23
8.87,70.31,4.351,99
2.28,79.91,5.186,9
4.63,77.01,3.841,77
5.81,73.26,5.031,50
6.82,72.38,5.123,58
9.15,86.71,7.462,43
2.28,70.68,5.593,2
4.98,88.47,4.538,66
1.75,76.82,4.395,29
6.06,71.32,5.112,45
6.54,67.15,5.202,57
9.18,73.45,8.145,22
6.24,80.03,6.151,43
8.09,71.23,4.986,85
7.17,83.5,6.502,59
5.13,70.73,6.076,6
3.18,73.75,3.873,57
6.55,62.13,5.899,28
3.02,80.59,3.239,80
8.59,72.33,8.203,1
5.68,90.79,7.052,23
8.39,82.05,8.526,8
5.04,75.84,4.682,61
6.54,87.25,4.958,72
6.42,79.05,7.861,1
5.91,85.08,7.176,11
5.13,66.38,6.171,8
6.78,79.61,5.763,51
4.15,80.03,5.674,31
3.58,59.55,3.869,36
8.49,90.07,6.531,72
7.45,63.4,4.501,88
6.13,62.01,3.237,91
9.33,46.51,6.166,29
5.46,79.74,3.725,82
8.65,58.57,4.886,73
6.35,69.83,5.753,36
3.95,83.38,5.504,38
9.7,76.92,6.215,78
7.98,68.76,7.128,13
5.76,59.09,4.929,40
7.45,73.92,5.716,52
5.19,83.55,6.482,24
7.66,82.01,5.442,61
1.22,92.87,2.656,78
3.96,68.47,3.231,72
7.96,61.83,7.295,12
5.5,78.1,5.073,52
6.42,77.11,4.103,95
3.31,74.95,2.063,98
9.7,67.54,4.669,100
8.38,48.47,3.725,85
5.6,64.93,6.818,4
5.19,80.57,7.133,11
8.06,77.84,6.359,56
9.96,84.65,9.522,7
7.91,78.45,6.141,55
10.0,82.36,6.232,76
4.16,82.65,4.302,63
4.36,75.2,6.187,5
3.62,75.27,6.284,3
6.88,45.91,2.592,96
6.35,68.43,4.482,64
5.7,68.87,3.065,99
7.62,73.91,3.63,100
8.46,65.7,7.6,12
2.95,84.38,2.362,94
4.81,66.18,5.147,33
7.64,86.02,7.02,40
5.06,65.39,4.671,41
4.4,68.96,6.189,3
8.04,68.2,6.944,26
3.42,70.04,4.277,38
5.4,86.79,6.394,34
6.66,71.73,5.22,67
4.85,71.98,3.639,78
7.57,67.58,7.38,14
4.86,72.4,3.614,81
8.82,77.16,5.513,79
5.75,72.85,6.676,12
7.34,73.5,6.287,39
7.49,85.16,4.808,94
4.74,77.74,4.538,62
1.89,63.49,3.366,49
6.72,74.15,5.187,59
6.14,69.62,5.053,51
7.11,80.21,5.485,71
5.55,76.03,5.83,35
5.14,86.3,5.434,51
10.0,67.6,7.027,31
3.06,73.08,4.749,40
7.47,64.36,5.954,37
4.85,74.58,6.34,14
5.33,59.63,3.991,58
5.37,78.21,6.263,28
4.39,74.45,6.352,12
7.14,76.55,4.949,70
8.78,82.88,6.581,68
6.94,77.25,3.722,97
6.21,62.23,4.662,56
4.03,69.44,5.828,5
7.03,74.2,7.554,9
10.0,71.72,6.864,62
5.24,72.94,3.786,82
5.25,91.21,3.828,96
4.88,76.0,2.994,95
5.02,78.82,6.182,34
0.51,54.91,2.324,40
6.81,82.46,4.239,91
4.31,100.0,6.052,39
2.78,88.46,5.913,13
7.51,70.6,7.503,4
3.84,97.81,6.865,9
5.32,75.27,4.193,72
8.93,78.07,8.554,6
3.18,72.33,4.737,33
2.93,72.07,2.725,70
6.54,52.52,4.539,48
8.3,82.87,5.439,81
2.85,72.03,4.38,37
6.82,73.12,4.633,77
7.16,77.73,6.844,22
1.88,70.85,3.377,50
7.6,77.64,7.813,19
7.75,87.03,7.41,28
5.38,79.05,4.395,64
8.5,73.47,6.351,58
8.27,73.77,7.292,25
6.21,77.01,4.57,72
5.1,66.68,4.635,58
4.05,77.08,4.636,32
5.92,81.85,5.654,47
7.14,75.88,4.56,75
5.35,70.76,5.726,38
1.6,72.13,4.46,18
8.54,81.52,7.359,27
6.38,64.0,5.211,37
5.24,66.84,5.256,42
7.71,58.93,6.418,36
9.05,75.34,7.311,34
0.4,83.62,4.695,15
6.87,88.31,5.78,61
3.15,90.49,3.956,77
7.0,68.1,6.266,27
6.26,77.5,6.615,19
7.27,70.98,3.688,100
5.0,91.48,4.75,77
2.25,88.03,6.161,7
5.1,76.68,4.339,61
6.81,68.81,7.359,1
8.03,40.52,5.337,21
3.66,60.66,4.806,16
8.05,56.48,5.427,49
4.7,60.54,4.797,29
6.72,93.79,5.03,88
4.98,62.05,3.374,83
6.36,64.39,3.532,91
7.78,65.79,6.238,47
3.55,100.0,7.227,1
4.64,74.38,3.094,91
6.37,84.94,7.554,14
10.0,76.75,6.525,75
4.27,55.16,2.432,87
10.0,90.33,8.12,47
10.0,79.01,6.875,60
5.81,73.78,3.65,84
5.4,92.6,7.006,26
4.62,71.53,5.796,18
5.86,73.56,5.802,36
3.19,71.55,1.888,94
5.85,85.76,6.135,53
8.99,83.14,6.518,68
4.78,77.79,3.982,83
5.52,64.48,4.528,62
2.6,71.3,3.01,69
6.75,64.48,4.136,66
6.53,86.6,7.701,10
6.13,59.25,4.285,58
5.57,90.94,6.232,49
5.41,87.88,5.645,55
7.0,65.81,5.771,43
5.94,70.84,3.97,75
6.63,67.88,5.103,51
6.43,79.3,6.491,22
8.25,89.12,7.018,43
7.35,86.86,8.125,8
6.39,70.67,7.022,3
9.04,87.55,7.675,41
6.84,86.72,6.301,53
8.61,73.11,6.915,40
7.21,74.91,6.022,58
2.32,90.42,5.648,18
8.61,85.58,7.255,50
6.27,87.25,4.905,86
5.9,100.0,7.65,11
6.56,80.47,5.337,66
5.31,78.26,6.692,22
6.45,88.58,5.565,63
4.82,94.88,4.379,79
8.55,68.89,7.967,8
5.77,72.98,3.946,83
5.23,64.81,4.251,73
4.15,78.43,4.232,69
6.54,83.89,5.279,72
6.37,65.51,3.086,97
6.78,86.34,7.217,15
3.95,70.47,5.962,15
2.8,69.65,5.541,7
7.25,86.3,5.03,85
8.97,68.75,7.353,26
3.95,60.97,3.432,65
9.18,82.44,6.904,51
6.57,73.68,3.444,90
5.99,86.98,6.685,26
5.2,83.33,3.721,92
3.23,57.52,4.769,9
7.98,88.16,7.755,26
4.45,94.0,4.97,77
4.44,85.34,6.905,5
7.98,85.74,7.639,18
2.23,72.52,3.554,53
2.95,70.23,4.953,23
5.96,77.12,3.8,92
6.59,84.2,4.991,69
6.97,83.95,5.924,61
5.4,70.62,3.833,91
10.0,69.61,5.836,84
5.54,60.1,2.812,100
5.54,81.47,5.776,34
4.41,71.1,3.3,78
6.25,71.99,5.269,47
7.23,92.28,5.858,70
8.41,80.98,7.776,27
3.02,78.23,6.269,2
5.51,83.3,7.17,9
6.89,89.21,5.179,75
7.17,58.83,5.219,54
6.01,69.34,7.026,5
7.08,72.68,4.077,75
4.38,65.22,6.176,3
9.12,72.35,4.784,90
7.99,59.49,6.921,14
3.31,84.22,5.996,9
3.85,69.82,2.958,83
3.91,77.01,3.411,81
7.36,75.51,6.118,49
3.43,80.57,4.229,58
5.34,50.39,2.575,88
6.91,79.5,4.764,78
5.87,72.25,6.81,10
6.52,79.07,7.64,7
3.87,63.21,5.395,13
7.19,79.14,6.677,35
4.77,87.99,4.769,61
5.35,76.9,3.54,95
6.48,67.83,5.985,38
6.21,68.26,5.882,37
6.05,80.76,3.915,93
4.5,80.7,4.43,70
5.4,78.57,6.944,8
6.0,74.62,3.495,89
3.25,77.03,3.729,69
5.07,74.35,3.787,74
6.78,71.19,6.465,23
3.45,82.57,6.518,1
8.31,78.1,8.07,13
8.54,87.91,8.166,26
3.51,86.17,3.113,83
8.72,77.77,5.219,90
